city_ascii,country,population
Idaho Falls,United States,97548
Beaverton,United States,97514
Bismarck,United States,97457
Lawrence,United States,97341
Prescott Valley,United States,97066
Shangzhi,China,96980
Federal Way,United States,96690
San Marcos,United States,96198
Rio Rancho,United States,96159
Tracy,United States,95982
Brockton,United States,95672
South Gate,United States,95430
Boli,China,95260
Hesperia,United States,94859
Roswell,United States,94786
Mandeville,United States,94760
Vineland,United States,94734
Portsmouth,United States,94572
Dearborn,United States,94491
Sunrise,United States,94323
Quincy,United States,94166
Yishui,China,94115
Livonia,United States,94105
Lynn,United States,94063
Plantation,United States,93909
Slidell,United States,93882
Manzhouli,China,93620
Daan,China,93297
Bath,United Kingdom,93238
Carson,United States,92735
Terre Haute,United States,92722
Blacksburg,United States,92573
Portsmouth,United States,92513
Fuan,China,92470
Miami Beach,United States,92307
Santa Monica,United States,92306
Dover,United States,92234
Carmel,United States,92198
Hanford,United States,92066
Danjiangkou,China,92008
Lafayette,United States,91985
Edmond,United States,91950
Fishers,United States,91832
Westminster,United States,91564
Lawton,United States,91383
Florence,United States,91311
Pingdu,China,91077
Livermore,United States,91030
Lees Summit,United States,90597
Menifee,United States,90595
San Leandro,United States,90553
Albany,United States,90515
Bowling Green,United States,90448
Edinburg,United States,90280
Suffolk,United States,90237
Missoula,United States,90218
Chino,United States,89797
Auburn,United States,89577
Chester,United Kingdom,89531
Fujin,China,89442
Fall River,United States,89420
Norwalk,United States,89005
Decatur,United States,88997
Newton,United States,88994
Rapid City,United States,88979
Wangqing,China,88732
Muncie,United States,88688
Kirkland,United States,88630
Sugar Land,United States,88485
State College,United States,88285
Citrus Heights,United States,87931
Hawthorne,United States,87854
Jackson,United States,87819
Waukegan,United States,87729
O'Fallon,United States,87597
Changting,China,87458
Mishan,China,87257
Nenjiang,China,87236
Napa,United States,87032
Dalton,United States,86841
Whittier,United States,86838
Redwood City,United States,86685
Mount Pleasant,United States,86668
Clifton,United States,86607
Anderson,United States,86481
Joplin,United States,86298
Panshi,China,86216
Newport Beach,United States,86160
Bloomington,United States,85866
Helong,China,85756
Alhambra,United States,85396
Hoover,United States,84920
Largo,United States,84754
Mission,United States,84424
Conroe,United States,84378
Johns Creek,United States,84350
Linjiang,China,84315
Lake Forest,United States,84293
Bryan,United States,84021
Port Huron,United States,83841
Troy,United States,83813
Londonderry,United Kingdom,83652
Madera,United States,83636
Springfield,United States,83286
Buena Park,United States,83015
Pleasanton,United States,83007
Cicero,United States,82552
Nangong,China,82386
Alexandria,United States,82131
Melbourne,United States,82011
Westland,United States,81747
Mountain View,United States,81438
Somerville,United States,81360
Cranston,United States,81202
Farmington Hills,United States,81050
Hattiesburg,United States,81036
Lakewood,United States,80967
Warwick,United States,80871
Williamsburg,United States,80855
Saint Joseph,United States,80818
Auburn,United States,80776
Brooklyn Park,United States,80581
Deerfield Beach,United States,80571
Tustin,United States,80498
Alton,United States,80462
Chino Hills,United States,80374
Lawrence,United States,80162
Texarkana,United States,80145
Xigaze,China,80000
Koktokay,China,80000
New Rochelle,United States,79946
Fort Myers,United States,79943
Goodyear,United States,79858
Springdale,United States,79599
Pharr,United States,79487
Valdosta,United States,79294
Alameda,United States,79177
Parma,United States,79167
New Braunfels,United States,79152
Kokomo,United States,79099
Newark,United States,79025
Shulan,China,78764
Cheyenne,United States,78728
Flagstaff,United States,78628
Plymouth,United States,78395
Franklin,United States,78321
Pingyi,China,78254
Florence,United States,78112
Milpitas,United States,78106
Folsom,United States,78038
Kankakee,United States,78001
Lebanon,United States,77973
Perris,United States,77879
Bellflower,United States,77772
Linkou,China,77754
Boynton Beach,United States,77702
Watsonville,United States,77700
Anderson,United States,77426
Elizabethtown,United States,77317
Wheeling,United States,77206
Jiexiu,China,77178
Upland,United States,76999
Baytown,United States,76804
Battle Creek,United States,76803
Porterville,United States,76729
Loveland,United States,76701
Layton,United States,76691
Flower Mound,United States,76681
Hammond,United States,76618
Lake Jackson,United States,76565
Davis,United States,76524
Zephyrhills,United States,76416
Baldwin Park,United States,76402
Altoona,United States,76096
Gary,United States,76008
Tailai,China,75992
Wyoming,United States,75938
Saint Augustine,United States,75932
San Ramon,United States,75931
Bethlehem,United States,75707
Cedar Park,United States,75704
Arlington Heights,United States,75634
Union City,United States,75343
Bolingbrook,United States,75201
Anniston,United States,75169
Oshkosh,United States,75154
Evanston,United States,74756
Camarillo,United States,74682
Greenock,United Kingdom,74635
